Model_ID,Avg_PSNR,Avg_SSIM,Avg_CIEDE2000,Avg_LPIPS,Std_PSNR,Std_SSIM,Std_CIEDE2000,Std_LPIPS
A,22.65638144598588,0.8995960396136855,11.948667694790606,0.23607563301920892,5.645909837486957,0.10331684719937471,5.133607972928347,0.13389744916849936
B,21.27269048767466,0.8130799042603153,13.489219304160542,0.272055546939373,4.611303755248051,0.09141479014867715,4.616215729971749,0.10842883635813443
C,21.97992252665807,0.8581438213995456,13.171314703281828,0.23722360506653786,5.175897436515895,0.0948644401372842,4.7246319333178635,0.12786932523202377
D,20.456996706734298,0.676019396923307,13.110442404703283,0.24977511018514634,4.513692404203764,0.08818434540715125,3.4799847740434235,0.14430638952888142
E,22.48158990308179,0.8981248343553508,12.221678950296035,0.2472919024527073,5.672380370294753,0.10443091693566169,5.424319580737578,0.13919158226184444
F,20.86104726287565,0.7493977785781994,14.33762796631271,0.2673465237021446,4.6057377701911895,0.07953481660681018,4.767592816377686,0.13766973968993593
C_L1_LOW,22.116728416593322,0.8312048643542898,12.404586768307865,0.26267885938286784,4.668096517225101,0.09199174228511606,4.254027494613097,0.11763534343325911
C_L1_HIGH,21.494802313140163,0.8485424896033511,13.604823677837619,0.24420277550816535,5.346277057214152,0.10808801460788516,5.995892137066868,0.14559203482738714
C_PERCEPTUAL_LOW,21.890996453884448,0.8577898600822195,12.792617137762507,0.24029693827033044,4.716973681356316,0.08981644317332364,4.209176751200087,0.11257594407105824
C_PERCEPTUAL_HIGH,21.389417199671588,0.8108551545522176,14.219458023743835,0.2404551237821579,4.979955712385068,0.08682175426565822,4.795944179562029,0.11073276602264771
